#{"t_start": 1731951467.1471744, "env_id": "sokoban-narrow-v0"}
r,l,t
9.0,7,0.904881
-6.0,6,0.909881
-6.0,12,0.921879
5.0,7,0.927879
1.0,8,0.935879
5.0,9,0.944882
-5.0,9,0.955878
0.0,8,0.962951
-6.0,8,0.969954
-10.0,8,0.976891
-7.0,10,0.983878
-7.0,8,0.989878
4.0,8,0.995885
8.0,10,1.002885
0.0,8,1.008947
8.0,6,1.012954
-4.0,6,1.017961
-5.0,7,1.022967
6.0,5,1.026884
-3.0,5,1.030883
-4.0,6,1.034882
12.0,7,1.039882
-12.0,7,1.044881
4.0,12,1.053881
3.0,5,1.057885
-4.0,5,1.061885
4.0,7,1.066885
8.0,8,1.073954
-7.0,7,1.079961
-20.0,10,1.088957
3.0,10,1.096964
-10.0,6,1.101965
-7.0,6,1.118181
-5.0,9,1.124181
2.0,6,1.128181
-6.0,13,1.137181
-4.0,6,1.141181
8.0,7,1.146181
-7.0,6,1.150181
1.0,8,1.156181
-5.0,7,1.161182
-3.0,8,1.167181
-6.0,6,1.171181
4.0,8,1.183178
-7.0,5,1.187182
6.0,7,1.192181
7.0,6,1.196181
-11.0,9,1.202181
2.0,5,1.206181
3.0,5,1.210181
15.0,7,1.216244
-2.0,7,1.222256
9.0,12,1.232273
1.0,10,1.24025
-1.0,5,1.245183
-1.0,5,1.249181
7.0,6,1.254181
-5.0,7,1.259181
1.0,7,1.264181
1.0,7,1.269181
10.0,5,1.272181
-5.0,8,1.279184
-3.0,13,1.289181
2.0,6,1.294178
1.0,13,1.303178
-14.0,8,1.308238
-6.0,7,1.313247
0.0,7,1.318261
-7.0,7,1.323247
-14.0,6,1.332179
3.0,5,1.336178
2.0,6,1.341255
-1.0,11,1.348244
-5.0,7,1.353255
-6.0,5,1.357256
-4.0,11,1.364246
0.0,5,1.368245
-1.0,6,1.372265
-2.0,9,1.379179
1.0,5,1.383179
1.0,8,1.388179
2.0,7,1.393178
18.0,10,1.400179
-6.0,8,1.406254
-9.0,11,1.414255
3.0,6,1.419167
-6.0,9,1.426955
-1.0,12,1.436108
-7.0,12,1.445107
-9.0,6,1.450108
-1.0,5,1.454108
10.0,9,1.460108
0.0,10,1.467107
-8.0,8,1.473108
-2.0,6,1.477108
-5.0,5,1.48111
-3.0,8,1.48711
1.0,9,1.493109
6.0,12,1.50111
-4.0,5,1.505111
2.0,5,1.50811
-8.0,6,1.51311
7.0,9,1.51911
10.0,11,1.528112
-7.0,11,1.54211
2.0,9,1.548186
-5.0,12,1.556191
-1.0,6,1.561195
-11.0,8,1.567108
-11.0,8,1.572108
-7.0,6,1.577107
7.0,10,1.584108
-1.0,10,1.591108
15.0,6,1.595107
-4.0,5,1.599108
-4.0,6,1.603108
-6.0,7,1.608108
12.0,7,1.613107
-8.0,7,1.618107
2.0,6,1.622109
0.0,9,1.628108
7.0,5,1.632107
-6.0,5,1.636107
-3.0,9,1.643108
-1.0,6,1.647613
7.0,5,1.651612
-3.0,7,1.656612
-9.0,7,1.671612
-6.0,6,1.675613
4.0,6,1.681613
6.0,7,1.686612
0.0,10,1.693612
